year,county_5dcode,pop
1969,26119,5176
1969,26121,156874
1969,26123,27744
1969,26125,903070
1969,26127,17567
1969,26129,11733
1969,26131,10406
1969,26133,14209
1969,26135,4623
1969,26137,10156
1969,26139,127462
1969,26141,12697
1969,26143,9326
1969,26145,217666
1969,26147,115801
1969,26149,46865
1969,26151,34641
1969,26153,8158
1969,26155,61845
1969,26157,47908
1969,26159,54955
1969,26161,232815
1969,26163,2671201
1969,26165,19351
1969,27001,11260
1969,27003,152112
1969,27005,24078
1969,27007,25786
1969,27009,20510
1969,27011,7783
1969,27013,51712
1969,27015,28623
1969,27017,27790
1969,27019,27862
1969,27021,17016
1969,27023,15036
1969,27025,16821
1969,27027,46028
1969,27029,7900
1969,27031,3378
1969,27033,14937
1969,27035,33920
1969,27037,137161
1969,27039,12969
1969,27041,22788
1969,27043,20860
1969,27045,21857
1969,27047,37623
1969,27049,34224
1969,27051,7472
1969,27053,958002
1969,27055,17497
1969,27057,10303
1969,27059,15325
1969,27061,35054
1969,27063,14404
1969,27065,9498
1969,27067,30041
1969,27069,6769
1969,27071,17049
1969,27073,11385
1969,27075,13286
1969,27077,3873
1969,27079,21020
1969,27081,8159
1969,27083,24223
1969,27085,27389
1969,27087,5685
1969,27089,12999
1969,27091,24093
1969,27093,18179
1969,27095,15526
1969,27097,26563
1969,27099,45240
1969,27101,12640
1969,27103,24426
1969,27105,23122
1969,27107,10011
1969,27109,83411
1969,27111,45717
1969,27113,12855
1969,27115,16530
1969,27117,13081
1969,27119,34399
1969,27121,11002
1969,27123,477175
1969,27125,5308
1969,27127,20138
1969,27129,21204
1969,27131,41058
1969,27133,11336
1969,27135,11469
1969,27137,219823
1969,27139,31880
1969,27141,17813
1969,27143,15780
1969,27145,94091
1969,27147,26741
1969,27149,11093
1969,27151,13337
1969,27153,21853
1969,27155,6263
1969,27157,17019
1969,27159,12443
1969,27161,16538
1969,27163,80937
1969,27165,13287
1969,27167,9440
1969,27169,44009
1969,27171,38013
1969,27173,14613
1969,28001,36821
1969,28003,26712
1969,28005,14021
1969,28007,20406
1969,28009,7471
1969,28011,49132
1969,28013,14184
1969,28015,9273
1969,28017,16873
1969,28019,8619
1969,28021,10239
1969,28023,14658
1969,28025,18396
1969,28027,41123
1969,28029,24928
1969,28031,13565
1969,28033,35344
1969,28035,57287
1969,28037,7804
1969,28039,12148
1969,28041,8476
1969,28043,19765
1969,28045,16361
1969,28047,131206
1969,28049,213049
1969,28051,22499
1969,28053,14760
1969,28055,2898
1969,28057,16593
1969,28059,85509
1969,28061,15845
1969,28063,9410
1969,28065,12932
1969,28067,55286
1969,28069,10226
1969,28071,23607
1969,28073,14728
1969,28075,65595
1969,28077,10796
1969,28079,16557
1969,28081,44879
1969,28083,42184
1969,28085,25306
1969,28087,47697
1969,28089,28705
1969,28091,22577
1969,28093,23883
1969,28095,33781
1969,28097,12753
1969,28099,20204
1969,28101,19103
1969,28103,14343
1969,28105,28956
1969,28107,27140
1969,28109,27541
1969,28111,9007
1969,28113,31208
1969,28115,17110
1969,28117,19318
1969,28119,16404
1969,28121,42053
1969,28123,20777
1969,28125,9284
1969,28127,19947
1969,28129,13363
1969,28131,7856
1969,28133,36727
1969,28135,19535
1969,28137,17934
1969,28139,15414
1969,28141,14910
1969,28143,12003
1969,28145,18716
1969,28147,12706
1969,28149,44302
1969,28151,70310
1969,28153,16737
1969,28155,9721
1969,28157,10998
1969,28159,18045
1969,28161,12138
1969,28163,26482
1969,29001,22588
1969,29003,11596
1969,29005,8974
1969,29007,24930
1969,29009,19220
1969,29011,10228
1969,29013,15522
1969,29015,9436
1969,29017,8515
1969,29019,79935
1969,29021,86344
1969,29023,32626
1969,29025,8277
1969,29027,25789
1969,29029,12960
1969,29031,48709
1969,29033,12510
1969,29035,3726
1969,29037,38090
1969,29039,9297
1969,29041,11288
1969,29043,14412
1969,29045,8285
1969,29047,121885
1969,29049,12120
1969,29051,46082
1969,29053,14880
1969,29055,14783
1969,29057,6817
1969,29059,9755
1969,29061,8503
1969,29063,7113
1969,29065,11108
1969,29067,8934
1969,29069,33273
1969,29071,53700
1969,29073,11639
1969,29075,7912
1969,29077,149269
1969,29079,11696
1969,29081,10213
1969,29083,18335
1969,29085,4226
1969,29087,6660
1969,29089,10461
1969,29091,23135
1969,29093,9181
1969,29095,651793
1969,29097,79681
1969,29099,103246
1969,29101,33258
1969,29103,5584
1969,29105,19775
1969,29107,26395
1969,29109,24149
1969,29111,11043
1969,29113,17856
1969,29115,14880
1969,29117,15224
1969,29119,11858
1969,29121,15495
1969,29123,8502
1969,29125,6702
1969,29127,28169
1969,29129,4998
1969,29131,14697
1969,29133,16395
1969,29135,10704
1969,29137,9499
1969,29139,10942
1969,29141,9735
1969,29143,22989
1969,29145,32190
1969,29147,22277
1969,29149,9140
1969,29151,10981
1969,29153,6088
1969,29155,26324
1969,29157,14203
1969,29159,33933
1969,29161,28450
1969,29163,16946
1969,29165,31062
1969,29167,15098
1969,29169,55037
1969,29171,5901
1969,29173,7890
1969,29175,22555
1969,29177,17287
1969,29179,6017
1969,29181,9490
1969,29183,90613
1969,29185,7641
1969,29186,12624
1969,29187,36118
1969,29189,950869
1969,29195,24997
1969,29197,4556
